,link,headline,summary,date
672,https://www.nytimes.com/2015/01/30/business/nickelodeon-to-offer-direct-to-consumer-streaming-service.html,Nickelodeon to Offer a Streaming Service as Viacom Steps Up Digital Efforts,The subscription service to be offered by the children’s programming group joins a growing number of similar offerings from other television groups.,2015/01/30
703,https://www.nytimes.com/2015/02/03/technology/in-net-neutrality-push-fcc-is-expected-to-propose-regulating-the-internet-as-a-utility.html,"In Net Neutrality Push, F.C.C. Is Expected to Propose Regulating Internet Service as a Utility","Tom Wheeler, chairman of the Federal Communications Commission, is expected to propose reclassifying high-speed Internet as a telecommunications service.",2015/02/03
558,https://artsbeat.blogs.nytimes.com/2015/02/04/fifty-shades-of-grey-big-draw-in-south-and-midwest/,‘Fifty Shades of Grey': Big Draw in South and Midwest,"Mississippi, Arkansas, West Virginia, Kentucky and Alabama lead the areas where advance ticket sales for “Fifty Shades of Grey” are significantly higher than expected.",2015/02/04
738,https://www.nytimes.com/roomfordebate/2015/02/04/regulate-internet-providers,Do We Really Want to Regulate Internet Providers?,,2015/02/04
575,https://takingnote.blogs.nytimes.com/2015/02/04/no-the-f-c-c-isnt-destroying-the-internet/,"No, the F.C.C. Isn’t Destroying the Internet",Common carrier regulations have played a vital role in the growth of the Web.,2015/02/04
584,https://www.nytimes.com/2015/02/05/pfizer-deal-and-other-mergers-show-a-case-of-the-mondays-on-a-thursday/,"Pfizer Deal and Other Mergers Show a Case of the Mondays, on a Thursday","In what might be called “transaction Thursday,” some $25.7 billion of deals were recorded, according to Thomson Reuters, including Pfizer’s purchase of Hospira and BT’s acquisition of the mobile carrier EE.",2015/02/05
710,https://www.nytimes.com/2015/02/06/business/media/after-sony-hacking-the-mpaa-considers-major-changes.html,"After Sony Hacking, the M.P.A.A. Considers Major Changes","Proposals are being discussed that might jolt the Motion Picture Association of America, the 93-year-old policy front for Hollywood’s major studios, into line with the realities of a changing entertainment business.",2015/02/06
724,https://www.nytimes.com/2015/02/06/opinion/net-neutralitys-wise-new-rules.html,Courage and Good Sense at the F.C.C.,Regulators should be applauded for trying to stop companies from blocking or slowing down information on the Internet.,2015/02/06
362,https://www.nytimes.com/2015/02/08/comcast-time-warner-cable-deal-still-up-in-the-air-a-year-later/,Comcast-Time Warner Cable Deal Still Up in the Air a Year Later,The air of inevitability around Comcast’s proposed $45 billion acquisition of Time Warner Cable has dissipated as the F.C.C. prepares to vote on a proposal to regulate the Internet like a utility.,2015/02/08
681,https://www.nytimes.com/2015/02/09/morning-agenda-u-s-takes-on-payday-lenders/,Morning Agenda: U.S. Takes On Payday Lenders,The Consumer Financial Protection Bureau seeks to limit payday lenders. | The prime minister of Greece says he will carry out his campaign to roll back austerity. | Hidden cash is flowing into high-end real estate. | Shares of HSBC fall on tax avoidance claims.,2015/02/09
559,https://www.nytimes.com/2015/02/11/cloud-software-start-up-appdirect-raises-50-million/,Cloud Software Start-Up AppDirect Raises $50 Million,"The company, which specializes in letting clients sell and manage online software systems, plans to expand its staff worldwide.",2015/02/11
578,https://www.nytimes.com/2015/02/11/john-malone-takes-a-stake-and-a-board-seat-at-lionsgate/,John Malone Takes a Stake and a Board Seat at Lionsgate,"Through a complicated stock swap involving the cable channel Starz, Mr. Malone will own 3.43 percent of Lionsgate.",2015/02/11
622,https://www.nytimes.com/2015/02/12/business/media/frantic-efforts-at-nbc-to-curb-rising-damage-caused-by-brian-williams.html,Brian Williams Scandal Prompts Frantic Efforts at NBC to Curb Rising Damage,Interviews show a news division in crisis mode as it investigated Brian Williams and assessed whether its celebrity anchor could salvage his position.,2015/02/12
548,https://www.nytimes.com/politics/first-draft/2015/02/12/first-draft-fact-book-philly-edition/,First Draft Fact Book: Philly Edition,"With the Democratic National Convention heading to Philadelphia in 2016, we here on First Draft thought we’d whip up a quick fact book for those just getting acquainted with the Cradle of Liberty.",2015/02/12
502,https://www.nytimes.com/2015/02/13/business/media/universal-pictures-regains-a-bit-of-its-old-sheen.html,Universal Pictures Regains a Bit of Its Old Sheen,"Universal has quietly put together a 2015 slate that brings an echo of the studio’s 1980s glory days, one that analysts say could make Universal the year’s No. 1 studio, at least by ticket sales.",2015/02/13
542,https://www.nytimes.com/2015/02/14/us/politics/democrats-convention-choice-reflects-philadelphias-resurgence.html,Democrats’ Convention Choice for 2016 Reflects a Philadelphia Resurgence,A city long overshadowed by nearby New York and Washington has learned to take pride in the creativity born of its relative affordability.,2015/02/14
687,https://www.nytimes.com/2015/02/16/vodafone-turns-focus-to-broadband-seeking-to-catch-up-to-rivals/,"Vodafone Turns Focus to Broadband, Seeking to Catch Up to Rivals","After years of focusing heavily on its cellphone business, the British telecom giant Vodafone is concentrating on high-speed broadband.",2015/02/16
