,link,headline,summary,date
903,https://news.blogs.nytimes.com/2015/09/10/morning-agenda-justice-department-sets-sights-on-wall-street-executives/,Morning Agenda: Justice Department Sets Sights on Wall Street Executives,Disrupting Bloomberg | Puerto Rico’s 5-Year Plan,2015/09/10
649,https://www.nytimes.com/2015/09/16/business/media/theaudience-a-social-media-company-is-sold-to-al-ahli-holding-group.html,"TheAudience, a Social Media Company, Is Sold to Al Ahli Holding Group","Focused on building the careers of celebrities, theAudience will expand its reach and include Al Ahli’s enterprises, said Oliver Luckett, the firm’s co-founder.",2015/09/16
644,https://www.nytimes.com/politics/first-draft/2015/09/23/donald-trump-quits-fox-news-again-after-oreilly-appearance-is-canceled/,Donald Trump Quits Fox News (Again) After O’Reilly Appearance Is Canceled,An exchange of accusatory statements added to the growing feud between the Republican presidential candidate and the cable news network.,2015/09/23
642,https://www.nytimes.com/2015/09/25/business/dealbook/the-redstone-discount-at-cbs.html,The Redstone Discount at CBS,"The nonagenarian media mogul’s firm grip almost certainly lingers as a concern for investors, especially as industry consolidation prospects grow.",2015/09/25
685,https://www.nytimes.com/2015/09/28/business/media/in-quest-for-global-presence-netflix-acquires-rights-to-3-more-shows.html,"In Quest for Global Presence, Netflix Acquires Rights to 3 More Shows","The streaming service plans to announce licensing deals for the CW telenovela “Jane the Virgin,” the CBS thriller “Zoo” and the USA drama “Colony.”",2015/09/28
871,https://news.blogs.nytimes.com/2015/09/30/morning-agenda-glencore-is-said-to-plan-debt-investor-meeting/,Morning Agenda: Glencore Is Said to Plan Debt Investor Meeting,UBS Fined Over Puerto Rico Funds | The War Over Corporate Governance | The Drone Company Ready for Spin-off,2015/09/30
635,https://www.nytimes.com/2015/10/03/business/media/josh-tyrangiel-may-be-headed-to-vice.html,Josh Tyrangiel May Be Headed to Vice,"Mr. Tyrangiel left Bloomberg Businessweek on Thursday, and people familiar with the matter say he may oversee a daily news show on HBO.",2015/10/03
663,https://www.nytimes.com/2015/10/05/business/media/with-the-tv-business-in-upheaval-targeted-ads-offer-hope.html,"With the TV Business in Upheaval, Targeted Ads Offer Hope","While the TV market is becoming fractured by online services, new technology promises finely targeted advertising, with set-top boxes as gateways.",2015/10/05
702,https://www.nytimes.com/2015/10/15/business/media/netflix-3q-earnings.html,Netflix Profits Slide 50% as Streaming Growth Lags,"Netflix faces fierce competition from streaming rivals like Amazon, Hulu and HBO, which are significantly increasing their investments.",2015/10/15
677,https://www.nytimes.com/2015/10/22/technology/youtube-introduces-youtube-red-a-subscription-service.html,"YouTube Introduces YouTube Red, a Subscription Service","The service will cost $10 a month to watch the videos without ads. The company also announced YouTube Originals, a slate of original programming for the paid service.",2015/10/22
