fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
2005-12-02,0000732717,2005-12-02,8-K,AT&T INC.,14358.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000428.txt
2005-12-12,0000732717,2005-12-12,8-K,AT&T INC.,16605.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000433.txt
2005-12-16,0000732717,2005-12-16,8-K,AT&T INC.,27008.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000435.txt
2006-01-26,0000732717,2006-01-26,8-K,AT&T INC.,475515.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000004.txt
2006-02-01,0000732717,2006-02-01,8-K,AT&T INC.,336243.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000005.txt
2006-03-01,0000732717,2006-03-01,10-K,AT&T INC.,5466944.0,28.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000008.txt
2006-03-06,0000732717,2006-03-06,8-K,AT&T INC.,287689.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000950123-06-002630.txt
2006-04-14,0000732717,2006-04-14,8-K,AT&T INC.,411159.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000010.txt
2006-04-25,0000732717,2006-04-25,8-K,AT&T INC.,242968.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000013.txt
2006-05-04,0000732717,2006-05-04,8-K,AT&T INC.,61264.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0001193125-06-100287.txt
2006-05-05,0000732717,2006-05-05,10-Q,AT&T INC.,1255954.0,7.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000018.txt
2006-05-09,0000732717,2006-05-09,8-K,AT&T INC.,42882.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000022.txt
2006-05-11,0000732717,2006-05-11,8-K,AT&T INC.,2826180.0,9.0,https://www.sec.gov/Archives/edgar/data/732717/0000950123-06-006118.txt
2006-05-19,0000732717,2006-05-19,8-K,AT&T INC.,261062.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000950134-06-010257.txt
2006-06-01,0000732717,2006-06-01,8-K,AT&T INC.,17246.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000025.txt
2006-06-06,0000732717,2006-06-06,8-K,AT&T INC.,435622.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000029.txt
2006-07-07,0000732717,2006-07-07,8-K,AT&T INC.,73993.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000052.txt
2006-07-12,0000732717,2006-07-12,8-K,AT&T INC.,522991.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000054.txt
2006-07-21,0000732717,2006-07-21,8-K,AT&T INC.,16939.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000056.txt
2006-07-25,0000732717,2006-07-25,8-K,AT&T INC.,304522.0,4.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000059.txt
2006-08-04,0000732717,2006-08-04,10-Q,AT&T INC.,1474454.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000061.txt
2006-08-17,0000732717,2006-08-17,8-K,AT&T INC.,2576342.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-06-000063.txt
